state,url,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Alabama,https://upload.wikimedia.org/wikipedia/commons/5/5c/Flag_of_Alabama.svg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alaska,https://upload.wikimedia.org/wikipedia/commons/e/e6/Flag_of_Alaska.svg,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.8,2.8,2.8,3.4,3.6,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,4.3,4.75,4.75,4.75,4.75,4.75,5.25,5.65,5.65,5.65,5.65,5.65,7.15,7.15,7.15,7.15,7.15,7.15,7.15,7.75,7.75,7.75,7.75,7.75,8.75,9.75,9.8
Arizona,https://upload.wikimedia.org/wikipedia/commons/9/9d/Flag_of_Arizona.svg,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.75,6.9,7.25,7.25,7.35,7.65,7.8,7.9,8.05,8.05,10.0
Arkansas,https://upload.wikimedia.org/wikipedia/commons/9/9d/Flag_of_Arkansas.svg,0.15625,0.15625,1.1,1.1,1.2,1.2,1.2,1.2,1.9,1.9,1.9,2.3,2.55,2.7,2.7,2.7,2.7,2.7,2.7,2.7,3.25,3.25,3.25,3.35,3.65,3.65,4.25,4.25,4.25,4.25,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,7.5,8.0,8.5
California,https://upload.wikimedia.org/wikipedia/commons/0/01/Flag_of_California.svg,1.65,1.65,1.65,1.65,1.65,1.65,1.65,1.65,2.0,2.0,2.0,2.9,2.9,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,4.25,4.25,4.25,4.25,4.25,4.25,4.75,5.15,5.15,5.75,6.25,6.75,6.75,6.75,6.75,6.75,7.5,8.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,10.0,10.0
Colorado,https://upload.wikimedia.org/wikipedia/commons/2/21/Flag_of_Colorado_designed_by_Andrew_Carlisle_Carson.svg,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.75,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,6.85,7.02,7.28,7.24,7.36,7.64,7.78,8.0,8.23,8.31,9.3
Connecticut,https://upload.wikimedia.org/wikipedia/commons/9/96/Flag_of_Connecticut.svg,1.4,1.4,1.6,1.6,1.85,1.85,1.85,1.85,2.31,2.31,2.31,2.91,3.12,3.37,3.37,3.37,3.37,3.37,3.37,3.37,3.75,3.75,3.75,4.25,4.27,4.27,4.27,4.27,4.27,4.77,5.18,5.18,6.15,6.4,6.7,6.9,7.1,7.1,7.4,7.65,7.65,8.0,8.25,8.25,8.25,8.25,8.7,9.15,9.6,10.1
Delaware,https://upload.wikimedia.org/wikipedia/commons/c/c6/Flag_of_Delaware.svg,1.25,1.25,1.25,1.25,1.6,1.6,1.6,1.6,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.35,3.35,3.35,3.8,4.25,4.25,4.25,4.25,4.65,5.0,5.15,5.15,5.65,6.15,6.15,6.15,6.15,6.15,6.15,6.65,7.15,7.15,7.25,7.25,7.25,7.25,7.75,8.25,8.25,8.25
"Washington, D.C.",https://upload.wikimedia.org/wikipedia/commons/d/d4/Flag_of_the_District_of_Columbia.svg,1.4,1.4,2.0,2.0,2.25,2.25,2.25,2.25,2.75,2.75,2.75,3.0,3.5,3.75,3.75,3.75,3.75,3.75,3.75,3.75,4.85,4.85,4.85,4.85,5.45,5.45,4.25,4.25,5.25,5.75,6.15,6.15,6.15,6.15,6.15,6.15,6.15,6.6,7.0,7.0,7.0,7.55,8.25,8.25,8.25,8.25,9.5,10.5,11.5,11.5
Florida,https://upload.wikimedia.org/wikipedia/commons/f/f7/Flag_of_Florida.svg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4,6.67,6.79,7.21,7.25,7.25,7.67,7.79,7.93,8.05,8.05,8.1
Georgia,https://upload.wikimedia.org/wikipedia/commons/5/54/Flag_of_Georgia_%28U.S._state%29.svg,0.0,0.0,0.0,0.0,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.23,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15
Guam,https://upload.wikimedia.org/wikipedia/commons/0/07/Flag_of_Guam.svg,1.25,1.25,1.6,1.6,1.9,1.9,1.9,1.9,2.3,2.3,2.3,2.9,3.1,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.8,4.25,4.25,4.25,4.25,4.25,4.75,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.85,5.85,7.25,7.25,7.25,7.25,7.25,8.25,8.25,8.25
Hawaii,https://upload.wikimedia.org/wikipedia/commons/e/ef/Flag_of_Hawaii.svg,1.25,1.25,1.6,1.6,1.6,1.6,1.6,1.6,2.4,2.4,2.4,2.65,2.9,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.85,3.85,3.85,3.85,3.85,3.85,5.25,5.25,5.25,5.25,5.25,5.25,5.25,5.25,5.75,6.25,6.25,6.25,6.75,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.75,8.5,9.25
Idaho,https://upload.wikimedia.org/wikipedia/commons/a/a4/Flag_of_Idaho.svg,1.15,1.15,1.25,1.25,1.4,1.4,1.4,1.4,1.6,1.6,1.6,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,3.8,4.25,4.25,4.25,4.25,4.25,4.25,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.85,6.55,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
Illinois,https://upload.wikimedia.org/wikipedia/commons/0/01/Flag_of_Illinois.svg,0.0,0.0,0.0,0.0,1.4,1.4,1.4,1.4,2.1,2.1,2.1,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,3.8,4.25,4.25,4.25,4.25,4.25,4.75,5.15,5.15,5.15,5.15,5.15,5.15,5.5,6.5,6.5,6.5,7.5,7.75,8.0,8.25,8.25,8.25,8.25,8.25,8.25,8.25
Indiana,https://upload.wikimedia.org/wikipedia/commons/a/ac/Flag_of_Indiana.svg,1.15,1.15,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.85,6.55,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
